,FundingOrgName,LeadROName,Department,ProjectCategory,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region
23131,MRC,University of Oxford,Physiology Anatomy and Genetics,Research Grant,01/04/2016,31/03/2021,2018278.0,,South East
23132,EPSRC,Open University,Faculty of Business and Law (FBL),Research Grant,01/10/2016,30/09/2019,265467.0,,South East
23133,MRC,University of Manchester,School of Health Sciences,Fellowship,14/02/2018,13/02/2021,236193.0,,North West
23134,ESRC,University of Leeds,Politics and International Studies,Studentship,01/10/2017,30/09/2020,0.0,,Yorkshire and The Humber
23135,EPSRC,University of Cambridge,Engineering,Research Grant,01/09/2018,31/08/2021,328128.0,,East of England
23136,Innovate UK,Fergusson's Advanced Composite Technology Limited,,Feasibility Studies,01/12/2017,30/11/2018,68738.0,,London
23137,NERC,University of Liverpool,"Earth, Ocean and Ecological Sciences",Research Grant,01/10/2015,31/03/2021,793878.0,,North West
23138,BBSRC,University of Edinburgh,The Roslin Institute,Research Grant,01/10/2017,30/09/2020,428082.0,,Scotland
23139,STFC,University of Liverpool,Physics,Research Grant,01/04/2017,31/03/2019,9965.0,,North West
23140,EPSRC,University of Sheffield,Advanced Manufacturing Res Centre Boeing,Research Grant,01/07/2017,30/06/2021,261023.0,,Yorkshire and The Humber
23141,EPSRC,University of St Andrews,Computer Science,Studentship,27/09/2017,26/09/2020,0.0,,Scotland
23142,BBSRC,University of Manchester,School of Biological Sciences,Training Grant,01/10/2015,30/09/2019,95042.0,,North West
23143,EPSRC,University of Edinburgh,Sch of Mathematics,Studentship,01/09/2018,28/02/2022,0.0,,Scotland
23144,BBSRC,University of Edinburgh,The Roslin Institute,Research Grant,01/09/2015,28/02/2019,405590.0,,Scotland
23145,ESRC,National Centre for Social Research,Research Department,Research Grant,04/01/2018,03/12/2019,170599.0,,London
23146,STFC,University of Manchester,Physics and Astronomy,Studentship,17/09/2017,30/03/2021,0.0,,North West
23147,AHRC,Lancaster University,Computing & Communications,Research Grant,14/02/2017,13/02/2019,120729.0,,North West
23148,Innovate UK,Rolls-Royce Controls and Data Services Limited,,BIS-Funded Programmes,01/04/2014,28/02/2019,4471361.0,,East Midlands
23149,AHRC,University of the West of England,Fac of Arts Creative Ind and Education,Research Grant,01/02/2017,31/12/2018,158962.0,,South West
23150,EPSRC,University of Edinburgh,Sch of Engineering,Research Grant,01/11/2018,31/10/2021,349185.0,,Scotland
23151,ESRC,University of Bath,Social and Policy Sciences,Studentship,01/10/2018,30/09/2022,0.0,,South West
23152,EPSRC,Loughborough University,Civil and Building Engineering,Studentship,01/10/2017,30/09/2021,0.0,,East Midlands
23153,BBSRC,University of Southampton,School of Chemistry,Research Grant,19/10/2015,18/10/2020,1011617.0,,South East
23154,BBSRC,University of Warwick,School of Life Sciences,Studentship,05/10/2015,30/09/2019,0.0,,West Midlands
23155,STFC,University of Leeds,Physics and Astronomy,Research Grant,01/04/2017,31/03/2019,202436.0,,Yorkshire and The Humber
23156,ESRC,University of Glasgow,School of Psychology,Studentship,01/10/2017,30/09/2021,0.0,,Scotland
23157,EPSRC,Swansea University,School of Engineering,Research Grant,28/11/2018,27/05/2020,100000.0,,Wales
23158,NERC,Imperial College London,Earth Science and Engineering,Research Grant,01/05/2016,30/04/2020,700288.0,,London
23159,MRC,University of Leeds,School of Medicine,Fellowship,08/08/2016,31/05/2020,195530.0,,Yorkshire and The Humber
23160,NERC,University of Cambridge,Plant Sciences,Studentship,01/10/2016,30/09/2020,0.0,,East of England
23161,EPSRC,Loughborough University,Research Student Office,Training Grant,30/09/2018,29/09/2023,251780.0,,East Midlands
23162,EPSRC,University of Southampton,School of Chemistry,Studentship,01/02/2017,31/01/2021,0.0,,South East
23163,STFC,University of Sheffield,Physics and Astronomy,Training Grant,01/10/2018,30/09/2022,317018.0,,Yorkshire and The Humber
23164,NERC,University of Liverpool,"Earth, Ocean and Ecological Sciences",Research Grant,01/08/2017,31/08/2020,236522.0,,North West
23165,EPSRC,Heriot-Watt University,Sch of Engineering and Physical Science,Research Grant,01/12/2016,31/05/2021,543360.0,,Scotland
23166,BBSRC,SRUC,Research,Research Grant,01/12/2016,30/11/2020,378647.0,,Scotland
23167,EPSRC,University of Exeter,Engineering Computer Science and Maths,Research Grant,01/05/2016,30/04/2019,262971.0,,South West
23168,AHRC,University of Nottingham,Archaeology,Studentship,01/10/2017,10/04/2021,0.0,,East Midlands
23169,AHRC,Royal College of Art,School of Art and Humanities,Studentship,01/10/2018,30/09/2021,0.0,,London
23170,STFC,University of Birmingham,School of Physics and Astronomy,Research Grant,01/10/2014,31/03/2021,42645.0,,West Midlands
23171,EPSRC,University of Warwick,Chemistry,Research Grant,01/12/2017,31/08/2019,196421.0,,West Midlands
23172,MRC,Imperial College London,School of Public Health,Studentship,30/09/2017,31/03/2022,0.0,,London
23173,EPSRC,University of Bristol,Physics,Studentship,01/10/2016,31/03/2020,0.0,,South West
23174,EPSRC,University of Oxford,Materials,Studentship,01/10/2016,31/03/2020,0.0,,South East
23175,BBSRC,University of Sussex,Sch of Life Sciences,Research Grant,01/10/2018,30/09/2021,763188.0,,South East
23176,STFC,University College London,Mullard Space Science Laboratory,Studentship,01/10/2017,31/03/2021,0.0,,London
23177,EPSRC,University of Edinburgh,Sch of Engineering,Research Grant,01/01/2018,31/12/2018,100695.0,,Scotland
23178,EPSRC,University of Warwick,Physics,Fellowship,30/07/2018,29/07/2023,1059593.0,,West Midlands
23179,STFC,University of Nottingham,Sch of Physics & Astronomy,Studentship,01/10/2017,31/03/2021,0.0,,East Midlands
23180,EPSRC,Imperial College London,Dept of Bioengineering,Research Grant,14/10/2013,13/04/2019,5158504.0,,London
23181,STFC,University of Southampton,School of Physics and Astronomy,Training Grant,01/10/2014,30/09/2018,278571.0,,South East
23182,NERC,University of Bristol,Chemistry,Fellowship,01/09/2017,31/08/2022,557819.0,,South West
23183,AHRC,Newcastle University,"Sch of History, Classics and Archaeology",Research Grant,01/10/2017,30/09/2018,80535.0,,North East
23184,EPSRC,University of Glasgow,School of Engineering,Studentship,01/10/2017,01/04/2021,0.0,,Scotland
23185,MRC,MRC Laboratory of Molecular Biology,,Intramural,06/10/2014,,,1155437.0,East of England
23186,EPSRC,Lancaster University,Computing & Communications,Training Grant,01/10/2013,30/09/2018,68648.0,,North West
23187,Innovate UK,Lif Nano Rx Ltd,,Collaborative R&D,01/01/2017,31/12/2018,828627.0,,East of England
23188,EPSRC,University of Edinburgh,Sch of Informatics,Studentship,01/09/2017,28/02/2021,0.0,,Scotland
23189,MRC,University of Liverpool,Institute of Translational Medicine,Studentship,01/10/2017,31/03/2021,0.0,,North West
23190,EPSRC,Queen's University of Belfast,Sch of Mathematics and Physics,Studentship,01/10/2016,31/03/2020,0.0,,Northern Ireland
23191,ESRC,University of Essex,Psychology,Studentship,01/10/2017,30/09/2020,0.0,,East of England
23192,BBSRC,University of Oxford,Biochemistry,Research Grant,08/01/2018,07/01/2021,345542.0,,South East
23193,ESRC,Institute for Fiscal Studies,IFS Research Team,Research Grant,01/10/2018,31/03/2020,166714.0,,London
23194,BBSRC,University of Bath,Biology and Biochemistry,Studentship,01/10/2015,30/09/2019,0.0,,South West
23195,EPSRC,University of Brighton,"Sch of Computing, Engineering & Maths",Studentship,03/10/2016,02/10/2019,0.0,,South East
23196,ESRC,University of Sheffield,Sheffield Methods Institute,Studentship,25/09/2017,30/09/2021,0.0,,Yorkshire and The Humber
23197,EPSRC,University of Bath,Chemistry,Research Grant,01/04/2018,31/03/2021,317753.0,,South West
23198,STFC,University of Dundee,Mathematics,Research Grant,01/04/2016,30/09/2019,641658.0,,Scotland
23199,BBSRC,University of Birmingham,Sch of Biosciences,Studentship,05/10/2015,30/09/2019,0.0,,West Midlands
23200,MRC,University of Sheffield,Biomedical Science,Studentship,01/10/2016,31/03/2020,0.0,,Yorkshire and The Humber
23201,EPSRC,Cardiff University,Sch of Psychology,Studentship,01/10/2017,31/03/2021,0.0,,Wales
23202,EPSRC,Newcastle University,Sch of Natural Sciences & Env Sciences,Training Grant,01/10/2017,30/09/2021,1130997.0,,North East
23203,EPSRC,University of Southampton,Optoelectronics Research Centre,Studentship,28/09/2017,30/09/2021,0.0,,South East
23204,EPSRC,University of Bristol,Computer Science,Research Grant,01/07/2017,31/12/2019,1051606.0,,South West
23205,ESRC,University of Sunderland,Media,Studentship,01/10/2017,31/03/2021,0.0,,North East
23206,MRC,University College London,Epidemiology and Public Health,Studentship,25/09/2017,30/06/2022,0.0,,London
23207,NERC,NERC British Antarctic Survey,,Intramural,01/04/2015,31/03/2050,,2200160.0,East of England
23208,MRC,University of Surrey,Microbial & Cellular Sciences,Studentship,01/10/2017,30/09/2021,0.0,,South East
23209,EPSRC,University of Liverpool,Physics,Research Grant,01/12/2018,30/11/2023,3515606.0,,North West
23210,MRC,University of Edinburgh,MRC Centre for Inflammation Research,Research Grant,01/09/2016,28/02/2021,1450703.0,,Scotland
23211,AHRC,Historic Royal Palaces,Historic Buildings,Fellowship,03/04/2017,02/01/2019,164976.0,,London
23212,EPSRC,University of Bristol,Mathematics,Studentship,18/09/2017,31/03/2021,0.0,,South West
23213,EPSRC,University of Bath,Computer Science,Studentship,01/10/2016,31/03/2020,0.0,,South West
23214,EPSRC,University of Edinburgh,Sch of Engineering,Studentship,01/03/2017,31/08/2020,0.0,,Scotland
23215,NERC,University of York,Biology,Research Grant,01/07/2014,09/01/2019,133971.0,,Yorkshire and The Humber
23216,Innovate UK,Aston Martin Lagonda Limited,,Collaborative R&D,01/10/2018,31/03/2021,2215494.0,,West Midlands
23217,BBSRC,University of Aberdeen,College of Life Sci and Med Graduate Sch,Studentship,01/10/2016,30/09/2020,0.0,,Scotland
23218,EPSRC,University of Edinburgh,Sch of Engineering,Training Grant,01/07/2011,31/03/2022,6499212.0,,Scotland
23219,BBSRC,University of Birmingham,Sch of Biosciences,Research Grant,01/10/2018,30/09/2021,475536.0,,West Midlands
23220,MRC,University College London,MRC Laboratory of Molecular Cell Biology,Fellowship,01/03/2014,30/09/2019,1147187.0,,London
23221,EPSRC,University of Bristol,Chemistry,Studentship,18/09/2017,17/09/2021,0.0,,South West
23222,EPSRC,University of Bristol,Chemistry,Research Grant,01/04/2015,31/03/2020,391561.0,,South West
23223,ESRC,King's College London,Education and Professional Studies,Studentship,01/10/2018,30/09/2021,0.0,,London
23224,EPSRC,University of Birmingham,"Electronic, Electrical and Computer Eng",Studentship,01/10/2018,30/09/2021,0.0,,West Midlands
23225,EPSRC,Swansea University,School of Engineering,Research Grant,03/09/2018,02/03/2022,35947427.0,,Wales
23226,Innovate UK,Sonardyne International Limited,,Collaborative R&D,01/12/2017,30/11/2019,822985.0,,South East
23227,MRC,University of Edinburgh,,Intramural,01/03/2017,31/12/2018,,125000.0,Scotland
23228,EPSRC,University of Oxford,Oxford Chemistry,Studentship,01/10/2016,31/03/2020,0.0,,South East
23229,ESRC,University of Leeds,Sociology & Social Policy,Research Grant,01/04/2017,31/03/2020,502251.0,,Yorkshire and The Humber
23230,EPSRC,Swansea University,Research and Innovation,Training Grant,01/10/2016,30/09/2021,1300216.0,,Wales
23231,EPSRC,University of Bristol,Mathematics,Studentship,24/09/2018,31/03/2022,0.0,,South West
23232,MRC,University of Edinburgh,Sch of Molecular. Genetics & Pop Health,Studentship,01/09/2018,31/08/2022,0.0,,Scotland
23233,BBSRC,Imperial College London,Life Sciences,Studentship,30/09/2017,30/09/2021,0.0,,London
23234,EPSRC,University of Manchester,Materials,Research Grant,01/03/2018,31/05/2021,361240.0,,North West
23235,EPSRC,University of Bristol,Engineering Mathematics,Studentship,01/10/2016,30/09/2020,0.0,,South West
23236,EPSRC,"Queen Mary, University of London",Unlisted,Research Grant,01/10/2014,30/09/2024,628002.0,,London
23237,NERC,University of Aberdeen,Inst of Biological and Environmental Sci,Fellowship,31/10/2016,30/11/2019,236413.0,,Scotland
23238,EPSRC,University of York,Physics,Studentship,01/10/2017,30/09/2020,0.0,,Yorkshire and The Humber
23239,AHRC,University of Cambridge,Architecture,Research Grant,16/10/2017,15/10/2019,448890.0,,East of England
23240,NERC,The James Hutton Institute,Ecological Sciences,Research Grant,04/01/2016,03/01/2019,207520.0,,Scotland
23241,BBSRC,University of Liverpool,Institute of Infection and Global Health,Research Grant,01/12/2014,30/11/2019,3319370.0,,North West
23242,EPSRC,Imperial College London,Electrical and Electronic Engineering,Studentship,30/09/2017,31/03/2021,0.0,,London
23243,BBSRC,University of Sheffield,Molecular Biology and Biotechnology,Studentship,01/10/2015,30/09/2019,0.0,,Yorkshire and The Humber
23244,MRC,University of Cambridge,MRC Biostatistics Unit,Research Grant,09/01/2017,08/01/2020,217246.0,,East of England
23245,BBSRC,Rothamsted Research,Sustainable Agriculture Sciences-H,Research Grant,01/05/2017,31/07/2019,500639.0,,East of England
23246,EPSRC,University of Oxford,Mathematical Institute,Studentship,01/10/2018,31/03/2022,0.0,,South East
23247,BBSRC,SRUC,Research,Training Grant,01/10/2015,30/09/2019,95042.0,,Scotland
23248,EPSRC,University of Cambridge,Materials Science & Metallurgy,Studentship,01/10/2017,31/03/2021,0.0,,East of England
23249,BBSRC,University of Leeds,Institute of Membrane & Systems Biology,Studentship,01/10/2017,30/09/2021,0.0,,Yorkshire and The Humber
23250,EPSRC,University of Leeds,Electronic and Electrical Engineering,Studentship,01/09/2017,28/02/2021,0.0,,Yorkshire and The Humber
23251,ESRC,London School of Economics & Pol Sci,Sociology,Studentship,01/10/2018,30/09/2021,0.0,,London
23252,EPSRC,University of Manchester,Chemistry,Studentship,19/09/2017,30/09/2021,0.0,,North West
23253,STFC,University College London,Mullard Space Science Laboratory,Studentship,01/10/2018,31/03/2022,0.0,,London
23254,MRC,University of Oxford,Experimental Medicine,Research Grant,01/06/2017,31/05/2020,669132.0,,South East
23255,MRC,Bangor University,Sch of Psychology,Research Grant,01/10/2018,31/12/2019,180852.0,,Wales
23256,MRC,University of Warwick,Warwick Medical School,Studentship,01/10/2018,30/09/2022,0.0,,West Midlands
23257,EPSRC,University of Manchester,Physics and Astronomy,Research Grant,01/07/2017,13/08/2021,922557.0,,North West
23258,EPSRC,University of Strathclyde,Electronic and Electrical Engineering,Studentship,01/10/2017,30/09/2021,0.0,,Scotland
23259,STFC,University of Oxford,Oxford Physics,Studentship,01/10/2016,31/03/2019,0.0,,South East
23260,EPSRC,University of Manchester,School of Biological Sciences,Fellowship,01/01/2016,31/12/2018,321227.0,,North West
23261,BBSRC,University College London,Cell and Developmental Biology,Studentship,01/10/2017,30/09/2021,0.0,,London
23262,NERC,University of Sussex,Sch of Global Studies,Studentship,01/03/2018,31/08/2021,0.0,,South East
23263,Innovate UK,A.T.Kearney Limited,,Collaborative R&D,01/05/2018,30/04/2021,3892619.0,,London
23264,STFC,University of Cambridge,,Intramural,01/01/2017,01/01/2030,,0.0,East of England
23265,BBSRC,University of Nottingham,Sch of Chemistry,Studentship,01/10/2017,30/09/2021,0.0,,East Midlands
23266,Innovate UK,University of Ulster,,Knowledge Transfer Partnership,01/11/2016,31/10/2018,48400.0,,Northern Ireland
23267,Innovate UK,University of Manchester,,Knowledge Transfer Partnership,01/11/2018,31/10/2021,115963.0,,North West
23268,Innovate UK,The University of Bolton Enterprises Company Limited,,CRD,01/12/2018,30/11/2020,113503.0,,North West
23269,EPSRC,University of Warwick,The Warwick Manufacturing Group,Studentship,02/10/2017,31/03/2021,0.0,,West Midlands
23270,EPSRC,University of Bristol,Mathematics,Studentship,16/04/2018,15/10/2021,0.0,,South West
23271,BBSRC,University of Manchester,Chemistry,Studentship,01/10/2017,30/09/2021,0.0,,North West
23272,AHRC,University of Bristol,School of Modern Languages,Research Grant,08/11/2016,14/12/2018,75114.0,,South West
23273,EPSRC,University of Edinburgh,Sch of Chemistry,Studentship,01/09/2018,31/08/2021,0.0,,Scotland
23274,MRC,King's College London,Social Genetic and Dev Psychiatry Centre,Studentship,01/10/2016,30/09/2020,0.0,,London
23275,EPSRC,Brunel University,Computer Science,Research Grant,01/09/2017,31/08/2019,606068.0,,London
23276,Innovate UK,University of Salford(The),,Knowledge Transfer Partnership,01/10/2016,31/03/2019,110334.0,,North West
23277,EPSRC,University of Salford,"Sch of Computing, Science & Engineering",Studentship,02/01/2017,31/12/2019,0.0,,North West
23278,MRC,University College London,,Intramural,01/10/2018,30/09/2021,,0.0,London
23279,EPSRC,University of Sheffield,Civil and Structural Engineering,Research Grant,16/01/2017,15/01/2019,101203.0,,Yorkshire and The Humber
23280,NERC,Imperial College London,Dept of Mathematics,Research Grant,01/09/2015,31/08/2018,100227.0,,London
23281,NERC,NERC Centre for Ecology and Hydrology,Pollution (Wallingford),Research Grant,12/11/2015,12/11/2019,323130.0,,South East
23282,MRC,University of Manchester,School of Biological Sciences,Studentship,01/10/2017,31/03/2021,0.0,,North West
23283,MRC,University of Bristol,Cellular and Molecular Medicine,Research Grant,01/07/2018,30/06/2021,830247.0,,South West
23284,BBSRC,University of Nottingham,Sch of Biosciences,Research Grant,01/12/2017,30/04/2020,39979.0,,East Midlands
23285,EPSRC,University of Nottingham,Sch of Physics & Astronomy,Research Grant,01/05/2017,31/01/2021,910916.0,,East Midlands
23286,EPSRC,University of Manchester,Chemistry,Studentship,07/09/2018,31/03/2022,0.0,,North West
23287,EPSRC,University of Strathclyde,Chemical and Process Engineering,Studentship,01/02/2017,31/12/2020,0.0,,Scotland
23288,NERC,University College London,Earth Sciences,Research Grant,01/11/2018,31/10/2021,476977.0,,London
23289,EPSRC,University of Cambridge,Chemistry,Studentship,01/10/2017,30/09/2021,0.0,,East of England
23290,ESRC,University of Liverpool,Institute of Psychology Health & Society,Research Grant,01/04/2016,30/09/2019,256004.0,,North West
23291,ESRC,Queen's University of Belfast,"Sch of Social Sci, Edu & Social Work",Research Grant,01/01/2018,30/06/2020,751228.0,,Northern Ireland
23292,Innovate UK,Cadscan Limited,,Collaborative R&D,01/08/2017,31/01/2019,278556.0,,North West
23293,EPSRC,University of Cambridge,Physics,Fellowship,01/03/2016,28/02/2021,1103985.0,,East of England
23294,MRC,University of Cambridge,Clinical Neurosciences,Research Grant,01/04/2017,31/03/2020,693896.0,,East of England
23295,Innovate UK,Inovo Robotics Ltd,,Collaborative R&D,01/09/2017,31/05/2019,154220.0,,East of England
23296,BBSRC,University of Nottingham,School of Veterinary Medicine and Sci,Studentship,01/10/2017,30/09/2021,0.0,,East Midlands
23297,BBSRC,University of East Anglia,Graduate Office,Studentship,01/10/2017,30/09/2021,0.0,,East of England
23298,AHRC,Durham University,School of Applied Social Sciences,Studentship,01/10/2017,30/09/2020,0.0,,North East
23299,BBSRC,University of Aberdeen,Inst of Biological and Environmental Sci,Studentship,01/10/2015,30/09/2019,0.0,,Scotland
23300,Innovate UK,Biopharma Process Systems Limited,,Feasibility Studies,01/03/2018,28/02/2019,78876.0,,Unknown
23301,EPSRC,Imperial College London,Life Sciences,Studentship,30/09/2017,29/09/2020,0.0,,London
23302,MRC,University of Manchester,School of Biological Sciences,Studentship,01/10/2017,31/03/2021,0.0,,North West
23303,EPSRC,University College London,"Bartlett Sch of Env, Energy & Resources",Studentship,25/09/2017,15/09/2021,0.0,,London
23304,MRC,University of Edinburgh,MRC Centre for Regenerative Medicine,Research Grant,10/12/2018,09/12/2020,452372.0,,Scotland
23305,MRC,Imperial College London,Dept of Medicine,Studentship,22/10/2018,21/03/2022,0.0,,London
23306,ESRC,Goldsmiths College,Psychology,Research Grant,01/09/2015,31/08/2019,27011.0,,London
23307,BBSRC,University of Oxford,Oxford Chemistry,Training Grant,01/10/2015,30/09/2019,95042.0,,South East
23308,STFC,University of Warwick,Physics,Studentship,01/10/2018,31/03/2022,0.0,,West Midlands
23309,EPSRC,Heriot-Watt University,Sch of Engineering and Physical Science,Studentship,01/10/2017,31/03/2021,0.0,,Scotland
23310,NERC,NERC British Antarctic Survey,Science Programmes,Research Grant,01/04/2018,31/03/2023,3366564.0,,East of England
23311,ESRC,University of Warwick,Warwick Business School,Research Grant,14/02/2018,13/02/2021,2485922.0,,West Midlands
23312,EPSRC,Newcastle University,Sch of Engineering,Studentship,01/10/2017,30/09/2020,0.0,,North East
23313,STFC,University College London,Physics and Astronomy,Studentship,01/10/2018,30/09/2021,0.0,,London
23314,STFC,City University London,Sch of Engineering and Mathematical Sci,Research Grant,01/07/2018,30/09/2020,3831.0,,London
23315,ESRC,University of Sussex,Sch of Global Studies,Studentship,25/09/2017,30/09/2020,0.0,,South East
23316,ESRC,University of Cambridge,Economics,Studentship,01/10/2018,30/09/2021,0.0,,East of England
23317,BBSRC,University of Nottingham,Sch of Biosciences,Research Grant,01/10/2016,30/09/2020,366541.0,,East Midlands
23318,EPSRC,University of Leeds,Physics and Astronomy,Studentship,01/10/2016,31/03/2020,0.0,,Yorkshire and The Humber
23319,EPSRC,Nottingham Trent University,School of Science & Technology,Research Grant,01/09/2018,31/08/2021,314920.0,,East Midlands
23320,EPSRC,University of Nottingham,Sch of Mathematical Sciences,Research Grant,01/10/2018,30/09/2021,319653.0,,East Midlands
23321,EPSRC,University of York,Physics,Studentship,01/10/2017,30/09/2020,0.0,,Yorkshire and The Humber
23322,Innovate UK,Vika Books Ltd,,CRD,01/10/2018,31/03/2019,36957.0,,South West
23323,STFC,Imperial College London,Dept of Physics,Studentship,01/10/2015,31/03/2019,0.0,,London
23324,BBSRC,University of Warwick,Chemistry,Fellowship,01/02/2018,31/01/2021,304176.0,,West Midlands
23325,BBSRC,London Sch of Hygiene and Trop Medicine,Department of Pathogen Molecular Biology,Studentship,28/09/2015,30/09/2019,0.0,,London
23326,NERC,University of Leeds,School of Earth and Environment,Research Grant,01/07/2014,31/12/2018,726620.0,,Yorkshire and The Humber
23327,MRC,University of Cambridge,Medicine,Research Grant,01/09/2016,31/10/2021,1801711.0,,East of England
23328,Innovate UK,Modern Baker Ltd,,Collaborative R&D,01/07/2017,30/06/2018,78842.0,,South East
23329,EPSRC,Loughborough University,"Wolfson Sch of Mech, Elec & Manufac Eng",Studentship,01/10/2018,31/03/2022,0.0,,East Midlands
23330,MRC,University of Cambridge,,Intramural,01/04/2013,,,1974000.0,East of England
23331,BBSRC,University of Birmingham,School of Psychology,Studentship,02/10/2017,30/09/2021,0.0,,West Midlands
23332,Innovate UK,Teledyne E2v (UK) Limited,,Feasibility Studies,01/10/2017,30/09/2018,216442.0,,Unknown
23333,BBSRC,University of Oxford,Weatherall Inst of Molecular Medicine,Research Grant,01/09/2016,31/08/2019,393486.0,,South East
23334,EPSRC,University of Oxford,Oxford Chemistry,Studentship,01/10/2016,31/03/2020,0.0,,South East
23335,NERC,University of Edinburgh,Sch of Geosciences,Studentship,01/10/2018,31/03/2022,0.0,,Scotland
23336,EPSRC,Aston University,Sch of Engineering and Applied Science,Studentship,01/10/2017,30/09/2020,0.0,,West Midlands
23337,EPSRC,King's College London,Education and Professional Studies,Studentship,01/10/2017,30/09/2021,0.0,,London
23338,MRC,University of Cambridge,Cambridge Centre for Brain Repair,Research Grant,01/05/2017,30/04/2020,236007.0,,East of England
23339,EPSRC,University of Southampton,Electronics and Computer Science,Studentship,05/09/2016,30/09/2019,0.0,,South East
23340,NERC,University of Leeds,School of Earth and Environment,Research Grant,09/10/2017,08/04/2019,52251.0,,Yorkshire and The Humber
23341,MRC,University of Manchester,School of Biological Sciences,Research Grant,01/10/2018,30/09/2021,623611.0,,North West
23342,EPSRC,University of Strathclyde,Research and Knowledge Exchange Services,Training Grant,01/10/2015,30/09/2020,887370.0,,Scotland
23343,STFC,University of Cambridge,Physics,Studentship,01/10/2017,31/03/2021,0.0,,East of England
23344,ESRC,University of York,Sociology,Studentship,01/10/2018,30/09/2022,0.0,,Yorkshire and The Humber
23345,EPSRC,University of Edinburgh,Sch of Engineering,Studentship,01/08/2018,31/01/2022,0.0,,Scotland
23346,BBSRC,University of Strathclyde,Pure and Applied Chemistry,Research Grant,01/05/2018,30/04/2021,374263.0,,Scotland
23347,MRC,University of Manchester,Medical and Human Sciences,Fellowship,05/04/2017,04/10/2019,204768.0,,North West
23348,EPSRC,University of Cambridge,Chemistry,Studentship,01/10/2018,31/03/2022,0.0,,East of England
23349,EPSRC,University College London,Physics and Astronomy,Studentship,25/09/2017,30/09/2021,0.0,,London
23350,ESRC,Swansea University,College of Science,Fellowship,01/10/2018,30/09/2019,98570.0,,Wales
23351,EPSRC,University of Leeds,Chemical and Process Engineering,Research Grant,01/08/2018,31/05/2019,16667.0,,Yorkshire and The Humber
23352,EPSRC,University of Bristol,Mechanical Engineering,Research Grant,01/05/2017,28/05/2019,101150.0,,South West
23353,BBSRC,SRUC,Research,Training Grant,01/10/2015,30/09/2019,95042.0,,Scotland
23354,EPSRC,Lancaster University,Mathematics and Statistics,Training Grant,01/10/2018,31/03/2020,57227.0,,North West
23355,EPSRC,University of Sheffield,Electronic and Electrical Engineering,Studentship,25/09/2017,25/12/2020,0.0,,Yorkshire and The Humber
23356,EPSRC,University of Nottingham,Sch of Chemistry,Studentship,01/07/2017,30/06/2021,0.0,,East Midlands
23357,EPSRC,University of Cambridge,Earth Sciences,Studentship,01/10/2018,31/03/2022,0.0,,East of England
23358,BBSRC,Durham University,Chemistry,Research Grant,01/04/2017,31/03/2020,125314.0,,North East
23359,EPSRC,University College London,Chemistry,Research Grant,01/12/2015,30/11/2018,37496.0,,London
23360,EPSRC,University of Sheffield,Mathematics and Statistics,Studentship,01/10/2018,31/03/2022,0.0,,Yorkshire and The Humber
23361,STFC,Durham University,Physics,Studentship,01/10/2015,31/03/2019,0.0,,North East
23362,Innovate UK,Kromek Limited,,Collaborative R&D,01/08/2018,31/07/2021,957269.0,,North East
23363,EPSRC,University of Southampton,Faculty of Engineering & the Environment,Research Grant,01/06/2015,31/05/2020,5193337.0,,South East
23364,Innovate UK,Sepparo,,Collaborative R&D,01/06/2018,31/12/2019,8414.0,,Unknown
23365,Innovate UK,Visteon Engineering Services Limited,,Collaborative R&D,01/06/2016,31/12/2018,3323747.0,,East of England
23366,BBSRC,University of Nottingham,Sch of Biosciences,Studentship,01/10/2018,30/09/2022,0.0,,East Midlands
23367,MRC,University of Oxford,Paediatrics,Studentship,01/10/2017,30/09/2020,0.0,,South East
23368,STFC,University of Sheffield,Automatic Control and Systems Eng,Training Grant,01/10/2018,30/09/2022,75332.0,,Yorkshire and The Humber
23369,ESRC,University of East Anglia,International Development,Research Grant,01/11/2016,31/01/2019,247981.0,,East of England
23370,EPSRC,University of Oxford,Oxford Physics,Research Grant,01/12/2018,31/05/2022,195116.0,,South East
23371,EPSRC,University of Sheffield,Mechanical Engineering,Studentship,01/10/2017,22/04/2021,0.0,,Yorkshire and The Humber
23372,Innovate UK,Printed Electronics Limited,,EU-Funded,01/04/2016,31/03/2019,52060.0,,East of England
23373,BBSRC,The Pirbright Institute,Avian Viral Diseases,Research Grant,05/02/2018,04/02/2021,531441.0,,South East
23374,EPSRC,University College London,Physics and Astronomy,Studentship,01/10/2018,30/09/2022,0.0,,London
23375,BBSRC,EMBL - European Bioinformatics Institute,Vertebrate Genomics,Research Grant,01/11/2016,31/10/2020,543721.0,,East of England
23376,EPSRC,University of Nottingham,Sch of Chemistry,Research Grant,06/02/2017,05/02/2022,6486389.0,,East Midlands
23377,EPSRC,Brunel University,Mechanical and Aerospace Engineering,Studentship,01/10/2018,30/09/2021,0.0,,London
23378,AHRC,Aberystwyth University,International Politics,Research Grant,14/08/2018,13/08/2020,231019.0,,Wales
23379,BBSRC,University of Warwick,Research Support Services,Research Grant,01/11/2017,31/03/2019,90000.0,,West Midlands
23380,ESRC,University of Manchester,"Environment, Education and Development",Research Grant,01/07/2017,30/06/2020,247490.0,,North West
23381,ESRC,University of Leeds,Leeds University Business School (LUBS),Research Grant,01/01/2017,31/12/2019,527577.0,,Yorkshire and The Humber
